tanggal_rilis,jam_rilis,judul_berita,link
13 May 2014,1899-12-31T10:28:11Z,Truk Pengangkut Besi Terperosok di Jl Rawa Domba,https://beritajakarta.com/read/2153/Truk_Pengangkut_Besi_Terperosok_di_Jl_Rawa_Domba
13 May 2014,1899-12-31T10:39:19Z,Basuki Stop Pembelian Bus Transjakarta Tahun Ini,https://beritajakarta.com/read/2154/Basuki_Stop_Pembelian_Bus_Transjakarta_Tahun_Ini
13 May 2014,1899-12-31T11:30:06Z,Taman Jalur Hijau di Jakbar Minim Perawatan,https://beritajakarta.com/read/2157/_Taman_Jalur_Hijau_di_Jakbar_Minim_Perawatan_
13 May 2014,1899-12-31T12:44:37Z,Daging Sapi Impor Banjiri Pasar Tradisional Jakut,https://beritajakarta.com/read/2158/Daging_Sapi_Impor_Banjiri_Pasar_Tradisional_Jakut
13 May 2014,1899-12-31T01:15:16Z,Udar Pristono Minta Tolong BPK,https://beritajakarta.com/read/2159/Udar_Pristono_Minta_Tolong_BPK
13 May 2014,1899-12-31T01:43:13Z,50 Lapak PKL di TPU Prumpung Ditertibkan,https://beritajakarta.com/read/2161/50_Lapak_PKL_di_TPU_Prumpung_Ditertibkan
13 May 2014,1899-12-31T02:26:23Z,Pristono Harapkan Bantuan Hukum DKI,https://beritajakarta.com/read/2160/Pristono_Harapkan_Bantuan_Hukum_DKI
13 May 2014,1899-12-31T03:10:29Z,"Tabrak Pemotor Hingga Tewas, Sedan Dirusak Massa","https://beritajakarta.com/read/2168/Tabrak_Pemotor_Hingga_Tewas,_Sedan_Dirusak_Massa"
13 May 2014,1899-12-31T03:26:18Z,Murid PAUD Dicabuli Oknum Guru,https://beritajakarta.com/read/2166/Murid_PAUD_Dicabuli_Oknum_Guru
13 May 2014,1899-12-31T03:46:05Z,"Parkir Liar, 10 Ban Mobil Dikempesi dan 4 Ditilang","https://beritajakarta.com/read/2162/Parkir_Liar,_10_Ban_Mobil_Dikempesi_dan_4_Ditilang_"
13 May 2014,1899-12-31T04:12:11Z,"Agustus, Anggota DPRD DKI Dilantik","https://beritajakarta.com/read/2170/Agustus,_Anggota_DPRD_DKI_Dilantik"
13 May 2014,1899-12-31T04:35:54Z,"Parkir Sembarangan, 320 Motor dan 30 Mobil Ditindak","https://beritajakarta.com/read/2167/Parkir_Sembarangan,_320_Motor_dan_30_Mobil_Ditindak"
13 May 2014,1899-12-31T05:11:09Z,Parkir Liar di Kebayoran Lama Akan Ditertibkan,https://beritajakarta.com/read/2152/Parkir_Liar_di_Kebayoran_Lama_Akan_Ditertibkan_
13 May 2014,1899-12-31T05:30:24Z,"Demi Adipura, Satpol PP Bersihkan Sampah di Rel Kereta","https://beritajakarta.com/read/2171/Demi_Adipura,_Satpol_PP_Bersihkan_Sampah_di_Rel_Kereta_"
13 May 2014,1899-12-31T05:52:16Z,Basuki Plt atau Plh Tergantung SK Presiden,https://beritajakarta.com/read/2174/Basuki_Plt_atau_Plh_Tergantung_SK_Presiden
13 May 2014,1899-12-31T06:38:24Z,"Cabuli Siswi SD, Pedagang Siomay Ditahan","https://beritajakarta.com/read/2175/Cabuli_Siswi_SD,_Pedagang_Siomay_Ditahan_"
13 May 2014,1899-12-31T07:05:35Z,Izin Cuti Jokowi Segera Ditandatangani,https://beritajakarta.com/read/2177/Izin_Cuti_Jokowi_Segera_Ditandatangani
13 May 2014,1899-12-31T07:22:21Z,Basuki Minta Kasus Bus Berkarat Tidak Dipolitisir,https://beritajakarta.com/read/2178/Basuki_Minta_Kasus_Bus_Berkarat_Tidak_Dipolitisir
13 May 2014,1899-12-31T07:44:06Z,"Merokok di Kantor, TKD PNS Akan Dipotong","https://beritajakarta.com/read/2172/Merokok_di_Kantor,_TKD_PNS_Akan_Dipotong"
